SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,GPSDateTime
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/133B7D7E489044A5A6E7F334A4B7A61A.jpg,133B7D7E489044A5A6E7F334A4B7A61A.jpg,"39 deg 51' 12.42"" N","104 deg 40' 36.38"" W",1638.7 m Above Sea Level,2014:01:23 15:40:45Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/13BC8DB0113442A5AA0CC9FB4D9791CE.jpg,13BC8DB0113442A5AA0CC9FB4D9791CE.jpg,"32 deg 45' 6.87"" N","97 deg 4' 55.83"" W",169 m Above Sea Level,2014:06:25 00:41:13Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/13ED3B0D49F14029954C6C281319147A.jpg,13ED3B0D49F14029954C6C281319147A.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1418B9FD047249808C3696886B86E955.jpg,1418B9FD047249808C3696886B86E955.jpg,"32 deg 51' 10.21"" N","96 deg 45' 36.09"" W",179.3 m Above Sea Level,2013:11:17 21:31:46Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/14AFC230146C44AD9D64ABED8F8E6C9B.jpg,14AFC230146C44AD9D64ABED8F8E6C9B.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/14F1933287FB4D71B85A48DDF0AACAAE.jpg,14F1933287FB4D71B85A48DDF0AACAAE.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/16FCEFED6C5C4396865975B8A365DCF0.jpg,16FCEFED6C5C4396865975B8A365DCF0.jpg,"32 deg 51' 7.51"" N","96 deg 45' 37.46"" W",181.1 m Above Sea Level,2014:03:29 22:16:15Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1730B23896924C9A89FD1448C752BBBE.jpg,1730B23896924C9A89FD1448C752BBBE.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/176B22E6B1A748D39C17143457917F6F.jpg,176B22E6B1A748D39C17143457917F6F.jpg,"32 deg 50' 18.18"" N","96 deg 43' 27.47"" W",132.7 m Above Sea Level,2013:07:15 17:58:17Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1929A89C5891435EAAC875EAFA2341FA.jpg,1929A89C5891435EAAC875EAFA2341FA.jpg,"34 deg 14' 43.42"" N","93 deg 9' 9.89"" W",137.2 m Above Sea Level,2014:09:01 17:14:18Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1B9F75CBA387457DA2533BEEF2161ACB.jpg,1B9F75CBA387457DA2533BEEF2161ACB.jpg,"32 deg 47' 15.09"" N","96 deg 47' 51.28"" W",143.5 m Above Sea Level,2013:09:28 23:01:46Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1BAA1E7ADAD746B68248100298271397.jpg,1BAA1E7ADAD746B68248100298271397.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1C50082E3E1E48B3A6F0D2CCE8490105.jpg,1C50082E3E1E48B3A6F0D2CCE8490105.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1C75C2E422944E9ABD52C8541C5A5104.jpg,1C75C2E422944E9ABD52C8541C5A5104.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1CB98A30F5054D40B11460D0BD428FB3.jpg,1CB98A30F5054D40B11460D0BD428FB3.jpg,"39 deg 0' 52.60"" N","77 deg 3' 56.15"" W",89.8 m Above Sea Level,2014:05:10 16:25:03Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1CC1A4692AF94936B9F1AB7004B6E355.jpg,1CC1A4692AF94936B9F1AB7004B6E355.jpg,"34 deg 15' 14.85"" N","118 deg 18' 47.83"" W",421.2 m Above Sea Level,2014:05:25 01:25:09Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1D8164F34F2A4A7280946EC35B1DFF4D.jpg,1D8164F34F2A4A7280946EC35B1DFF4D.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1D87E094879F4C9485CEE0D1212228A7.jpg,1D87E094879F4C9485CEE0D1212228A7.jpg,"32 deg 59' 54.66"" N","97 deg 5' 44.45"" W",167 m Above Sea Level,2014:05:03 12:23:34Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1F573B7688F14C1B9F7AC9D28FB0E060.jpg,1F573B7688F14C1B9F7AC9D28FB0E060.jpg,"40 deg 7' 50.17"" N","111 deg 35' 52.25"" W",1432.4 m Above Sea Level,2014:06:13 00:24:23Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/1FBB8EFFED6349A395EA8DEE3792917C.jpg,1FBB8EFFED6349A395EA8DEE3792917C.jpg,"32 deg 47' 53.80"" N","96 deg 46' 31.93"" W",151.1 m Above Sea Level,2013:10:06 23:27:51Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/21A53E03B9674D4C894DD6B2BC0D8EAF.jpg,21A53E03B9674D4C894DD6B2BC0D8EAF.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/239572064FDA4F17828A3C29B78F7393.jpg,239572064FDA4F17828A3C29B78F7393.jpg,"40 deg 8' 23.35"" N","111 deg 35' 31.43"" W",1442.1 m Above Sea Level,2014:06:14 22:18:58Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/245DB197576D4AC4B6B095C3533C7D05.jpg,245DB197576D4AC4B6B095C3533C7D05.jpg,"32 deg 45' 55.82"" N","96 deg 47' 31.56"" W",134 m Above Sea Level,2014:07:25 16:52:17Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2478B44973EF4DE6A20B33A4F7768004.jpg,2478B44973EF4DE6A20B33A4F7768004.jpg,"40 deg 8' 23.46"" N","111 deg 35' 31.40"" W",1447.4 m Above Sea Level,2014:06:14 21:33:01Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/249FB0C6F41648F9BDFA5828CD4D9620.jpg,249FB0C6F41648F9BDFA5828CD4D9620.jpg,"32 deg 51' 7.22"" N","96 deg 45' 37.60"" W",180.3 m Above Sea Level,2013:12:16 00:59:16Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/25269021ECAF48919AB809DC2AC0D375.jpg,25269021ECAF48919AB809DC2AC0D375.jpg,"33 deg 1' 10.56"" N","97 deg 3' 18.39"" W",185.3 m Above Sea Level,2013:12:08 14:57:14Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/259417A36F314DCBBDDA4EEA2E12865C.jpg,259417A36F314DCBBDDA4EEA2E12865C.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/262483D415C2447BA968FD6F75F1C158.jpg,262483D415C2447BA968FD6F75F1C158.jpg,"40 deg 28' 46.50"" N","111 deg 51' 13.51"" W",1851.9 m Above Sea Level,2014:02:27 03:05:30Z
