SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,GPSDateTime
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/48D51227EF194AE08894C4FD03796FA3.jpg,48D51227EF194AE08894C4FD03796FA3.jpg,"32 deg 51' 7.37"" N","96 deg 45' 37.82"" W",180.6 m Above Sea Level,2013:12:01 17:54:58Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4A057CB2AEAD4FBF870DA5F295980140.jpg,4A057CB2AEAD4FBF870DA5F295980140.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4AD7C72F4E0D4630BA618A2A41F4BEC6.jpg,4AD7C72F4E0D4630BA618A2A41F4BEC6.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4B5C2230034B440CBCCFF2079EF8A361.jpg,4B5C2230034B440CBCCFF2079EF8A361.jpg,"34 deg 15' 28.78"" N","93 deg 12' 10.92"" W",137.8 m Above Sea Level,2014:09:01 15:43:07Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4B69EB65444B48AC840A754C1BEE8943.jpg,4B69EB65444B48AC840A754C1BEE8943.jpg,"32 deg 47' 22.23"" N","96 deg 47' 2.77"" W",144.6 m Above Sea Level,2013:11:21 14:52:15Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4BA59891EFAF42F0ACBEB3504DC957B4.jpg,4BA59891EFAF42F0ACBEB3504DC957B4.jpg,"32 deg 51' 7.14"" N","96 deg 45' 37.55"" W",180.5 m Above Sea Level,2014:03:12 19:34:03Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4EA55D6A43124179830CF98A14B99C81.jpg,4EA55D6A43124179830CF98A14B99C81.jpg,"37 deg 15' 41.40"" N","112 deg 57' 5.40"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/4FCAFC08ED7844A78F33BD89AFC4BD97.jpg,4FCAFC08ED7844A78F33BD89AFC4BD97.jpg,"40 deg 7' 30.26"" N","111 deg 33' 59.31"" W",1464.1 m Above Sea Level,2013:08:05 17:52:50Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/512BFE2255D34578B605E8D82952FB9E.jpg,512BFE2255D34578B605E8D82952FB9E.jpg,"32 deg 51' 7.15"" N","96 deg 45' 37.63"" W",181.7 m Above Sea Level,2014:04:19 16:47:53Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/512E9BFAE09040AF96D0837B90CDF529.jpg,512E9BFAE09040AF96D0837B90CDF529.jpg,"32 deg 51' 7.34"" N","96 deg 45' 37.66"" W",181.2 m Above Sea Level,2014:05:11 22:06:36Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/527EA1CC9A9C4BCBA4F84B2790CB50BB.jpg,527EA1CC9A9C4BCBA4F84B2790CB50BB.jpg,"32 deg 53' 5.16"" N","96 deg 45' 37.02"" W",178 m Above Sea Level,2013:11:25 19:52:31Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/52A63B605E2940E9A992241420930914.jpg,52A63B605E2940E9A992241420930914.jpg,"32 deg 51' 10.42"" N","96 deg 45' 38.67"" W",179.8 m Above Sea Level,2014:09:08 00:18:29Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/52F1A76BD3A544758EC52802DBC81B0B.jpg,52F1A76BD3A544758EC52802DBC81B0B.jpg,"45 deg 35' 22.16"" N","122 deg 35' 52.61"" W",32.3 m Above Sea Level,2014:07:04 20:09:28Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/52F48B7172F043E5A9445CD4480C3AFB.jpg,52F48B7172F043E5A9445CD4480C3AFB.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/53057D29C7AD4C2190D2ACD4F17A8F55.jpg,53057D29C7AD4C2190D2ACD4F17A8F55.jpg,"32 deg 51' 7.42"" N","96 deg 45' 37.79"" W",177.9 m Above Sea Level,2014:05:11 19:15:12Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/53647C913A0B45CBBF556BE91BE2DE59.jpg,53647C913A0B45CBBF556BE91BE2DE59.jpg,"40 deg 3' 4.47"" N","111 deg 40' 34.08"" W",1394.3 m Above Sea Level,2014:06:14 17:37:36Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/53C57F97C6A14B10BC79B90DBC425941.jpg,53C57F97C6A14B10BC79B90DBC425941.jpg,"32 deg 53' 17.43"" N","97 deg 2' 2.77"" W",171.7 m Above Sea Level,2014:06:13 18:26:13Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/55E193B5BF754BE98995927CD32489DB.jpg,55E193B5BF754BE98995927CD32489DB.jpg,"32 deg 47' 10.15"" N","96 deg 47' 56.72"" W",147.4 m Above Sea Level,2014:07:24 17:26:14Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/563E394DEA884501B10514F2EAD7590F.jpg,563E394DEA884501B10514F2EAD7590F.jpg,"32 deg 59' 57.80"" N","97 deg 5' 50.02"" W",166.3 m Above Sea Level,2014:05:03 11:53:50Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5683E4970B944C7BAD6115C439688EA1.jpg,5683E4970B944C7BAD6115C439688EA1.jpg,"34 deg 15' 17.92"" N","118 deg 18' 38.77"" W",441.3 m Above Sea Level,2014:05:24 23:20:35Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/569612B48F9046D3A2E81C7F5D22D59E.jpg,569612B48F9046D3A2E81C7F5D22D59E.jpg,"40 deg 3' 3.77"" N","111 deg 40' 34.98"" W",1394 m Above Sea Level,2014:06:14 18:22:46Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5747A33BAB3B4C6A8CFBB1462BD4F837.jpg,5747A33BAB3B4C6A8CFBB1462BD4F837.jpg,"32 deg 51' 7.36"" N","96 deg 45' 37.66"" W",183 m Above Sea Level,2014:05:11 22:07:17Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/574EDCE0E97547A9A8D4E3B3D4F97766.jpg,574EDCE0E97547A9A8D4E3B3D4F97766.jpg,"32 deg 39' 12.54"" N","116 deg 48' 36.21"" W",1839.7 m Above Sea Level,2014:05:23 16:24:32Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5A8C7A55142D4CED93804A5AE1569086.jpg,5A8C7A55142D4CED93804A5AE1569086.jpg,"32 deg 51' 7.85"" N","96 deg 45' 37.33"" W",179.7 m Above Sea Level,2014:05:17 17:11:49Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5CDAD11A94194DA2994E2727A35CD3D6.jpg,5CDAD11A94194DA2994E2727A35CD3D6.jpg,"40 deg 2' 59.20"" N","111 deg 40' 28.42"" W",1398.9 m Above Sea Level,2014:06:14 17:49:00Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5D64C6F8EAB943979EC25BFD1836B9BE.jpg,5D64C6F8EAB943979EC25BFD1836B9BE.jpg,"38 deg 6' 28.01"" N","77 deg 49' 38.86"" W",115.8 m Above Sea Level,2014:07:22 14:59:58Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/5D788BAD095441E58B4C910EEDBF8FF3.jpg,5D788BAD095441E58B4C910EEDBF8FF3.jpg,"34 deg 15' 35.88"" N","93 deg 11' 23.93"" W",136.3 m Above Sea Level,2014:08:31 18:32:26Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6155E31CEB1D4E93B051F7C356DD71DB.jpg,6155E31CEB1D4E93B051F7C356DD71DB.jpg,"32 deg 51' 7.52"" N","96 deg 45' 37.74"" W",179.7 m Above Sea Level,2014:04:16 12:17:55Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/616B214882C34019A0928B9B105C1081.jpg,616B214882C34019A0928B9B105C1081.jpg,"40 deg 8' 23.40"" N","111 deg 35' 30.60"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/617CEF56ED7046778023968302E70A92.jpg,617CEF56ED7046778023968302E70A92.jpg,"32 deg 51' 10.49"" N","96 deg 45' 38.89"" W",183 m Above Sea Level,2014:06:28 21:30:30Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/623F715B9B944402900007CA1721706A.jpg,623F715B9B944402900007CA1721706A.jpg,"32 deg 51' 7.49"" N","96 deg 45' 37.71"" W",180.6 m Above Sea Level,2013:10:31 03:02:30Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/646AD74FD15D4FC79437C2E62CC0ACF1.jpg,646AD74FD15D4FC79437C2E62CC0ACF1.jpg,"32 deg 59' 57.82"" N","97 deg 5' 50.00"" W",163.7 m Above Sea Level,2014:05:03 12:36:26Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/64CB9E4B83544E99BB2F2809D02B8F03.jpg,64CB9E4B83544E99BB2F2809D02B8F03.jpg,"37 deg 10' 37.20"" N","3 deg 35' 13.20"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/653619A46FCF4FB182ADCF7C40C1B7BA.jpg,653619A46FCF4FB182ADCF7C40C1B7BA.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/656548337C67402898F32E8F1D2D7FD6.jpg,656548337C67402898F32E8F1D2D7FD6.jpg,"32 deg 45' 5.27"" N","117 deg 15' 11.48"" W",0 m Above Sea Level,2014:05:23 21:22:01Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/65B658376FC049DEA9EE6E7F4A974F01.jpg,65B658376FC049DEA9EE6E7F4A974F01.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/65E4DD266AC04E1EA04B241959FF59DE.jpg,65E4DD266AC04E1EA04B241959FF59DE.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/665432B69E2E400B99BCDDCF73755566.jpg,665432B69E2E400B99BCDDCF73755566.jpg,"32 deg 47' 12.11"" N","96 deg 47' 46.74"" W",143.9 m Above Sea Level,2013:10:11 13:09:30Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/671BFDF2BF364A4DA1F793E5EF523598.jpg,671BFDF2BF364A4DA1F793E5EF523598.jpg,"38 deg 39' 38.64"" N","77 deg 24' 16.35"" W",140.2 m Above Sea Level,2014:05:08 21:57:52Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/67C79F200F6D4D63969013425751A6EA.jpg,67C79F200F6D4D63969013425751A6EA.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/682038DC93B5415EBD85B5B0BA8AC55B.jpg,682038DC93B5415EBD85B5B0BA8AC55B.jpg,"32 deg 51' 10.54"" N","96 deg 45' 38.86"" W",179.6 m Above Sea Level,2014:08:03 21:37:38Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/68F7AE27A47E4FBAA6456C4B74ADD04C.jpg,68F7AE27A47E4FBAA6456C4B74ADD04C.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/693096FB2F514AF3A6A8F1F3FCA138BE.jpg,693096FB2F514AF3A6A8F1F3FCA138BE.jpg,"40 deg 15' 48.60"" N","111 deg 38' 25.20"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/69D27D47AB5D43918F84ABF80E894736.jpg,69D27D47AB5D43918F84ABF80E894736.jpg,"32 deg 51' 7.42"" N","96 deg 45' 37.90"" W",178.4 m Above Sea Level,2013:12:15 22:51:49Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6A70E141E3E6496A88FA78B5E9061200.jpg,6A70E141E3E6496A88FA78B5E9061200.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6AC1CDD9F631422C91BC30295AFADC41.jpg,6AC1CDD9F631422C91BC30295AFADC41.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6ACAE25370674E40937209151FE1CC35.jpg,6ACAE25370674E40937209151FE1CC35.jpg,"32 deg 47' 13.57"" N","96 deg 47' 51.11"" W",144.7 m Above Sea Level,2013:09:06 13:22:15Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6B40D1F135CC4E07816B1026E6042BAE.jpg,6B40D1F135CC4E07816B1026E6042BAE.jpg,"32 deg 51' 7.20"" N","96 deg 45' 37.79"" W",180.7 m Above Sea Level,2013:12:06 14:30:02Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6BD380E084194BEA84E1891F8645E856.jpg,6BD380E084194BEA84E1891F8645E856.jpg,"34 deg 14' 43.41"" N","93 deg 9' 9.95"" W",134.8 m Above Sea Level,2014:09:01 17:13:50Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6C51EDB147C243E090B42D43A2F3CAEC.jpg,6C51EDB147C243E090B42D43A2F3CAEC.jpg,"32 deg 47' 10.81"" N","96 deg 48' 31.73"" W",131.9 m Above Sea Level,2014:08:19 17:58:34Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6EAA82FCED054C6AB2C30D5AF3D90E85.jpg,6EAA82FCED054C6AB2C30D5AF3D90E85.jpg,"32 deg 45' 5.97"" N","97 deg 4' 56.00"" W",167.8 m Above Sea Level,2014:06:25 00:42:05Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/6ED315925E764BDAA5F1A943D5CCB2E3.jpg,6ED315925E764BDAA5F1A943D5CCB2E3.jpg,"32 deg 47' 17.63"" N","96 deg 47' 50.34"" W",143.6 m Above Sea Level,2013:09:04 13:15:42Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/70110113E926481E9AE597A9C535C9F5.jpg,70110113E926481E9AE597A9C535C9F5.jpg,"40 deg 8' 23.28"" N","111 deg 35' 31.59"" W",1446.8 m Above Sea Level,2014:06:14 13:47:52Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/71657821352A4F5FA83C3E9D6D8CD935.jpg,71657821352A4F5FA83C3E9D6D8CD935.jpg,"32 deg 51' 7.53"" N","96 deg 45' 37.44"" W",180.2 m Above Sea Level,2013:12:15 19:27:43Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/71B28D93E76A4C1489B0E60F2B694108.jpg,71B28D93E76A4C1489B0E60F2B694108.jpg,"32 deg 51' 7.22"" N","96 deg 45' 37.90"" W",0 m,2013:12:06 14:36:27Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/72611170A7934BABBA42632E5DCDDE2A.jpg,72611170A7934BABBA42632E5DCDDE2A.jpg,"37 deg 12' 26.40"" N","112 deg 59' 10.80"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7289E9BBA54C463BBFAD56FC24876ECD.jpg,7289E9BBA54C463BBFAD56FC24876ECD.jpg,"32 deg 51' 7.19"" N","96 deg 45' 37.79"" W",180.3 m Above Sea Level,2014:05:11 21:03:58Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/72B16B4B79BC4CCDB604FEF9F63F8881.jpg,72B16B4B79BC4CCDB604FEF9F63F8881.jpg,"45 deg 39' 51.63"" N","122 deg 25' 43.22"" W",108.9 m Above Sea Level,2014:07:05 03:24:52Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/740410E296DE448EB2960457EE8024E3.jpg,740410E296DE448EB2960457EE8024E3.jpg,"32 deg 51' 3.44"" N","96 deg 45' 49.16"" W",178.8 m Above Sea Level,2014:03:24 12:50:36Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7413D0E3E20F4CDFBAB62CC477F3F2F4.jpg,7413D0E3E20F4CDFBAB62CC477F3F2F4.jpg,"32 deg 51' 7.51"" N","96 deg 45' 37.68"" W",176.4 m Above Sea Level,2014:05:11 19:12:19Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/74A61600A8074A36AE8BC585EB6594F2.jpg,74A61600A8074A36AE8BC585EB6594F2.jpg,"36 deg 56' 49.80"" N","111 deg 29' 12.00"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/74B9E7CECCDC4FFABFF7C9C4DDB32FB2.jpg,74B9E7CECCDC4FFABFF7C9C4DDB32FB2.jpg,"32 deg 47' 12.32"" N","96 deg 47' 46.47"" W",185.7 m Above Sea Level,2013:10:10 13:15:59Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7664ED6C6A1C40BF9DDB40B593EC3CF7.jpg,7664ED6C6A1C40BF9DDB40B593EC3CF7.jpg,"32 deg 51' 7.36"" N","96 deg 45' 37.66"" W",182.5 m Above Sea Level,2014:05:11 22:07:22Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/76AA3EC91665462E8835D76F91DBEE21.jpg,76AA3EC91665462E8835D76F91DBEE21.jpg,"32 deg 45' 0.36"" N","117 deg 11' 0.72"" W",85.9 m Above Sea Level,2013:12:24 03:30:57Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/777746A7F812479DB8D06F55E1D10C15.jpg,777746A7F812479DB8D06F55E1D10C15.jpg,"34 deg 14' 45.77"" N","93 deg 8' 53.66"" W",132 m Above Sea Level,2014:09:01 16:42:07Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/77CE69628D6846BCA42114268BF38E32.jpg,77CE69628D6846BCA42114268BF38E32.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/78ED6949C9504565BAE35A929FFB8E91.jpg,78ED6949C9504565BAE35A929FFB8E91.jpg,"32 deg 51' 8.14"" N","96 deg 45' 37.99"" W",180.2 m Above Sea Level,2014:06:02 15:19:50Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/79076C51940C4E34AB657F9FBE7034D9.jpg,79076C51940C4E34AB657F9FBE7034D9.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/79A8B60537CD41FFB0B3FBB7A4853AFB.jpg,79A8B60537CD41FFB0B3FBB7A4853AFB.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7AC2FBFA148641109392226A7449648E.jpg,7AC2FBFA148641109392226A7449648E.jpg,"32 deg 51' 7.20"" N","96 deg 45' 37.20"" W",190.5 m Above Sea Level,2013:07:02 12:59:21Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7AE7F68BA50649F382FE875CC4B2B532.jpg,7AE7F68BA50649F382FE875CC4B2B532.jpg,"32 deg 51' 7.42"" N","96 deg 45' 37.82"" W",180.4 m Above Sea Level,2013:07:21 05:06:46Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7B85661407A14C28BD14F0F5ACDFF594.jpg,7B85661407A14C28BD14F0F5ACDFF594.jpg,"32 deg 51' 6.85"" N","96 deg 45' 37.27"" W",180.3 m Above Sea Level,2014:05:14 12:20:33Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7C180C7EB1D241D2BB10F78327805110.jpg,7C180C7EB1D241D2BB10F78327805110.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7D4E3701D9D74DCDACD179A8EEBC2961.jpg,7D4E3701D9D74DCDACD179A8EEBC2961.jpg,"32 deg 44' 58.17"" N","117 deg 10' 36.19"" W",86.4 m Above Sea Level,2014:05:26 20:10:23Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7D58B296C126416A94401BF17BADD358.jpg,7D58B296C126416A94401BF17BADD358.jpg,"32 deg 51' 7.31"" N","96 deg 45' 37.71"" W",0 m,2014:06:01 14:37:47Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/7EC293BE6D3F477CBA713A2511958425.jpg,7EC293BE6D3F477CBA713A2511958425.jpg,"32 deg 47' 12.41"" N","96 deg 47' 41.06"" W",144.3 m Above Sea Level,2014:05:28 22:36:26Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/810782E55FFC4F629364904BC2B172EF.jpg,810782E55FFC4F629364904BC2B172EF.jpg,"40 deg 15' 3.00"" N","111 deg 39' 12.60"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/81BC0587EB6F4C8F8230FADADE1C0F36.jpg,81BC0587EB6F4C8F8230FADADE1C0F36.jpg,"32 deg 47' 5.19"" N","96 deg 48' 8.61"" W",132.2 m Above Sea Level,2013:09:26 01:09:28Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/82385893210E4DDF8F35C0E29E345E5F.jpg,82385893210E4DDF8F35C0E29E345E5F.jpg,"32 deg 48' 29.78"" N","96 deg 46' 34.24"" W",162.3 m Above Sea Level,2014:03:16 16:51:59Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/83B51A26AA9849778CD2D936580CB5FD.jpg,83B51A26AA9849778CD2D936580CB5FD.jpg,"32 deg 51' 7.36"" N","96 deg 45' 37.74"" W",179.8 m Above Sea Level,2013:08:10 02:36:23Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/840CD4B5485E4A8E995AC1D7AF92B21B.jpg,840CD4B5485E4A8E995AC1D7AF92B21B.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/84264E60459C4FA3ACCE786FFAACDBB9.jpg,84264E60459C4FA3ACCE786FFAACDBB9.jpg,"32 deg 48' 18.18"" N","96 deg 47' 47.13"" W",150.6 m Above Sea Level,2013:12:07 20:32:30Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/849C3E82C9B04394B7AE39B7300F73BD.jpg,849C3E82C9B04394B7AE39B7300F73BD.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/85AAB48998B646EE8DCF05E616D111F9.jpg,85AAB48998B646EE8DCF05E616D111F9.jpg,"32 deg 51' 7.05"" N","96 deg 45' 37.71"" W",180.7 m Above Sea Level,2014:05:14 12:20:37Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8639E196741C4E00B8563531ADACB04B.jpg,8639E196741C4E00B8563531ADACB04B.jpg,"32 deg 47' 14.56"" N","96 deg 47' 49.77"" W",143.3 m Above Sea Level,2014:01:10 23:19:24Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/877D1A92C4554828AC670D3ACB6E0EF7.jpg,877D1A92C4554828AC670D3ACB6E0EF7.jpg,"32 deg 51' 7.26"" N","96 deg 45' 37.63"" W",184.7 m Above Sea Level,2013:11:24 17:29:01Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/87841DBD73CA48538F95EC3CFE1D07F8.jpg,87841DBD73CA48538F95EC3CFE1D07F8.jpg,"32 deg 45' 0.07"" N","117 deg 11' 1.35"" W",84.6 m Above Sea Level,2014:05:22 00:43:13Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/882750B6DA9744769DC1372E42654E1F.jpg,882750B6DA9744769DC1372E42654E1F.jpg,"32 deg 51' 10.42"" N","96 deg 45' 38.81"" W",181.3 m Above Sea Level,2014:07:13 23:30:30Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8848E39DC73E4FF5A72CEDD301FEB338.jpg,8848E39DC73E4FF5A72CEDD301FEB338.jpg,"32 deg 44' 58.60"" N","117 deg 10' 38.11"" W",86 m Above Sea Level,2014:05:26 19:44:01Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/88E6D77515E14683A3D0B56405C371B6.jpg,88E6D77515E14683A3D0B56405C371B6.jpg,"34 deg 15' 28.80"" N","93 deg 12' 10.81"" W",136.9 m Above Sea Level,2014:09:01 15:43:59Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8962BDA461E144C1B34CB179EC90BE55.jpg,8962BDA461E144C1B34CB179EC90BE55.jpg,"32 deg 51' 24.86"" N","96 deg 45' 34.74"" W",163.2 m Above Sea Level,2013:11:03 23:27:59Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8A27075FD44A4D9C98A89FCD46BD7C0E.jpg,8A27075FD44A4D9C98A89FCD46BD7C0E.jpg,"32 deg 48' 1.26"" N","96 deg 49' 24.91"" W",122.4 m Above Sea Level,2014:03:27 23:31:42Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8A5B7746D5DC43BB8506CF89033B5305.jpg,8A5B7746D5DC43BB8506CF89033B5305.jpg,"32 deg 51' 7.49"" N","96 deg 45' 37.57"" W",183.1 m Above Sea Level,2013:09:02 01:41:56Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8AA0E11AAC4949ACA3F8BFF016B856F0.jpg,8AA0E11AAC4949ACA3F8BFF016B856F0.jpg,"32 deg 47' 22.52"" N","96 deg 47' 3.29"" W",148.2 m Above Sea Level,2013:07:25 17:54:10Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8AA0F1ADE20F4DA2A4AA29919230703C.jpg,8AA0F1ADE20F4DA2A4AA29919230703C.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8C61CCA6663C4DAF985F159A3A8560D5.jpg,8C61CCA6663C4DAF985F159A3A8560D5.jpg,"32 deg 51' 10.34"" N","96 deg 45' 38.97"" W",180.2 m Above Sea Level,2014:06:22 22:46:23Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8CB016E27AA244EF9A5C91009EFFF460.jpg,8CB016E27AA244EF9A5C91009EFFF460.jpg,"32 deg 51' 23.30"" N","96 deg 44' 51.07"" W",164.2 m Above Sea Level,2014:04:04 00:07:07Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/8E0D38DA398F4FE88BC5A918A65F5E27.jpg,8E0D38DA398F4FE88BC5A918A65F5E27.jpg,"40 deg 14' 22.80"" N","111 deg 42' 20.40"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/9219C4D191624B84805F655710555825.jpg,9219C4D191624B84805F655710555825.jpg,"40 deg 8' 22.80"" N","111 deg 35' 31.80"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/9263EBB8C2C84DE89E2B721C6BEF9B90.jpg,9263EBB8C2C84DE89E2B721C6BEF9B90.jpg,"32 deg 43' 53.08"" N","117 deg 12' 8.97"" W",3.3 m Above Sea Level,2014:05:23 16:43:43Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/928B6531C79F41A4BA709A684ADE8497.jpg,928B6531C79F41A4BA709A684ADE8497.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/928D5A9439E64875A5A32C962D94BA92.jpg,928D5A9439E64875A5A32C962D94BA92.jpg,"34 deg 13' 47.78"" N","118 deg 21' 46.38"" W",265.9 m Above Sea Level,2014:05:20 21:38:46Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/939BB83E9FAC4B6F8A57E4CFEE235ABF.jpg,939BB83E9FAC4B6F8A57E4CFEE235ABF.jpg,"32 deg 49' 31.91"" N","96 deg 43' 51.47"" W",137 m Above Sea Level,2014:04:30 23:34:28Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/94F3A169F63F4988A018801510FB8DFB.jpg,94F3A169F63F4988A018801510FB8DFB.jpg,,,,
